Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Notes
TENR 307,Kicking Back With Taxman,Everything (Remix),10 Records,"12""",,1990,118693,Uncategorized,2019-09-17 21:01:10,,,
TENR 373,Sub Sub,Space Face (Todd Terry Remix),10 Records,"12""",,1991,351175,Uncategorized,2017-02-28 19:28:03,,,
TENX 303,Reel By Real,Aftermath (Remix),10 Records,"12""",,1990,81987,Uncategorized,2017-02-15 22:53:52,,,
"TENX384, TENX 384",Blow,Cutter,"10 Records, 10 Records","12""",,1991,160265,Uncategorized,2019-09-15 21:54:06,,,
"TENX384, TENX 384",Blow,Cutter,"10 Records, 10 Records","12""",,1991,160265,Uncategorized,2019-09-15 21:54:13,,,
"TENX 391, 614 948, TENX391",Joey Negro,Do What You Feel,"10 Records, 10 Records, 10 Records","12""",,1991,70370,Uncategorized,2019-09-23 16:20:50,,,
AMRO4,A Mountain Of One,Ride,10 Worlds,"12""",,2008,1457179,Uncategorized,2019-09-15 21:47:20,,,
BAD 312,Bauhaus,4AD,4AD,"12"", EP, Comp, Whi",,1983,3560455,Uncategorized,2019-09-09 21:59:37,,,
12 BRW 113,Paul Rutherford,Get Real,4th & Broadway,"12"", Single",,1988,89412,Uncategorized,2017-02-10 18:49:20,,,
"12 BRW 210, 878879-1",Brothers In Rhythm,Such A Good Feeling,"4th & Broadway, 4th & Broadway","12""",,1991,110465,Uncategorized,2019-09-15 22:03:04,,,
"BRCD 162, 876 689-2",Mondeé Oliver,Stay Close,"4th & Broadway, 4th & Broadway","CD, Single",,1989,426480,Uncategorized,2017-02-07 11:54:54,,,
"12 BRW 232, 868 987-1, 12 brw 232",Drizabone,Catch The Fire,"4th & Broadway, 4th & Broadway, 4th & Broadway","12"", Single",,1991,210976,Uncategorized,2019-09-16 21:51:40,,,
"12 BRW 171, 875 443-1",Young MC,I Come Off,"4th & Broadway, Delicious Vinyl","12""",,1990,111745,Uncategorized,2017-02-28 19:12:45,,,
"12 BRW 196, 878 223-1",Robert Owens,Happy / Far Away,"4th & Broadway, Island Records","12""",,1990,143936,Uncategorized,2019-09-23 16:48:26,,,
"12 BRW 223, 868 561-1",Drizabone,Real Love,"4th & Broadway, Island Records","12""",,1991,206904,Uncategorized,2019-09-16 21:50:50,,,
AMY 701,Steve Harvey,I'm The One,A&M PM,"12""",,1990,1576925,Uncategorized,2019-09-22 21:54:10,,,
AM-1973,The Stranglers,The Stranglers,A&M Records,"7"", EP, Pin",,1977,407206,Uncategorized,2020-01-03 22:07:22,,,
AMLH 64743,Joe Jackson,Look Sharp!,A&M Records,"LP, Album",,1979,3611210,Uncategorized,2019-01-18 18:17:49,,,
AMS 7423,The Tubes,Prime Time,A&M Records,"7"", Single, Whi",,1979,1680157,Uncategorized,2020-01-03 22:31:33,,,
AMY 750,Herb Alpert,Jump Street,A&M Records,"12""",,1991,771695,Uncategorized,2019-09-15 21:40:29,,,
AMYDJ 822,Ce Ce Peniston,Finally,A&M Records,"12"", Promo",,1991,1544098,Uncategorized,2017-02-12 14:46:59,,,
"AMY 762, 390762-1",Rodeo Jones,Get Wise!,"A&M Records, A&M Records","12""",,1991,340734,Uncategorized,2019-09-17 20:57:14,,,
DAM 1,The Damned,Another Great Record From The Damned: The Best Of The Damned,Ace,"LP, Comp",,1981,9175138,Uncategorized,2019-01-17 21:42:38,,,
"1A 184-05307, 1A 138-05307, 1A 138-05308",The Beatles,1962-1966,"Apple Records, Apple Records, Apple Records","2xLP, Comp, RE, Gat",,0,1800102,Uncategorized,2017-02-02 19:27:44,,,
614 209,Alison Limerick,Where Love Lives (Come On In) (The Remixes),Arista,"12""",,1991,55719,Uncategorized,2017-02-15 23:12:53,,,
614 264,Shawn Christopher,Another Sleepless Night (The David Morales Remixes),Arista,"12"", Maxi",,1991,415764,Uncategorized,2019-09-16 21:16:36,,,
614 420,Aretha Franklin,Everyday People,Arista,"12""",,1991,2082323,Uncategorized,2019-09-09 22:41:38,,,
614 526,Cola Boy,7 Ways To Love,Arista,"12""",,1991,32676,Uncategorized,2019-09-16 21:27:32,,,
74321 16226 1,David Bowie,Miracle Goodnight,Arista,"12""",,1993,1054792,David Bowie,2017-02-28 18:38:14,,,
74321 16226 2,David Bowie,Miracle Goodnight,Arista,"CD, Single",,1993,3832165,Uncategorized,2017-05-30 12:16:34,,,
ARIST 174,Showaddywaddy,I Wonder Why,Arista,"7"", Single",,1978,14061183,Uncategorized,2020-01-03 19:05:05,,,
74321 181682,David Bowie Featuring Lenny Kravitz,The Buddha Of Suburbia,"Arista, BMG","CD, Single, Col",,1993,1762664,Uncategorized,2017-05-30 12:19:39,,,
"74321 177052, 74321-17705-2",David Bowie Featuring Lenny Kravitz,The Buddha Of Suburbia,"Arista, BMG Bertelsmann Music Group, Arista","CD, Single",,1993,1575432,Uncategorized,2017-05-30 12:18:27,,,
74321 148681,David Bowie,Black Tie White Noise,"Arista, BMG International, Savage Records","12"", Maxi",,1993,1015298,David Bowie,2017-02-28 18:40:55,,,
"74321 139432, 74321139432",David Bowie,Jump They Say,"Arista, BMG International, Savage Records, Arista, BMG International, Savage Records","CD, Single, CD2",,1993,216959,Uncategorized,2017-05-30 12:11:08,,,
74321 148682,David Bowie Featuring Al B. Sure!,Black Tie White Noise,"Arista, BMG, Savage Records","CD, Maxi",,1993,9189728,Uncategorized,2017-05-30 12:12:43,,,
